dataset,zcp_metric,emb_style,test_loss,tau
piqa,plainact,b1e,0.007907924707978964,0.8431625698935634
copa,l2_norm,ble,0.0013286477187648416,0.896718930148009
openbookqa,l2_norm,ble,0.003086486831307411,0.879112833530708
copa,grasp,ble,0.01503287022933364,0.03436967426388472
copa,l2_norm,b1e,0.0012699957005679607,0.904733766824009
winogrande,l2_norm,ble,0.0019072702853009105,0.9225612715287858
copa,plainact,ble,0.008339792024344206,0.8123861720462328
winogrande,snip,ble,0.0017410184955224395,0.9968080587001164
copa,snip,ble,0.004157303599640727,0.9962215037008768
copa,nwot,ble,0.01073779072612524,0.701180258448816
openbookqa,l2_norm,b1e,0.002218402223661542,0.8814690110228872
rte,l2_norm,b1e,0.0038530987221747637,0.9288797020567481
piqa,l2_norm,b1e,0.002264722716063261,0.9333849453903905
winogrande,plainact,ble,0.009518103674054146,0.8463965648420675
piqa,plainact,ble,0.008606752380728722,0.8471619235031992
winogrande,nwot,ble,0.015277393162250519,0.5846489597269261
openbookqa,nwot,ble,0.01665502181276679,0.5925636739214619
copa,grasp,b1e,0.020630392245948315,0.025009411939667735
openbookqa,plainact,ble,0.009727609809488058,0.7549833366702926
openbookqa,grasp,ble,0.016886829398572445,0.06753487177569398
openbookqa,fisher,ble,0.0038130637258291245,0.7056664465068967
copa,grad_norm,ble,0.010442311875522137,0.9551325013910743
winogrande,l2_norm,b1e,0.001813118695281446,0.9204377726958677
copa,fisher,ble,0.005737597588449717,0.7780611176686362
winogrande,grasp,ble,0.013037342112511396,0.01483751844515716
piqa,l2_norm,ble,0.0032271503005176783,0.9169765945245982
openbookqa,grad_norm,ble,0.008310042088851333,0.9317498772029947
openbookqa,nwot,b1e,0.018826289102435112,0.5941759004268533
copa,snip,b1e,0.002927853143773973,0.996727325238427
copa,grad_norm,b1e,0.005838249810039997,0.9608403738233763
copa,plainact,b1e,0.007822166895493865,0.8241694147826506
copa,fisher,b1e,0.00503616314381361,0.8003506271741673
copa,nwot,b1e,0.009980368427932262,0.6956224872798762
rte,l2_norm,ble,0.0039728363044559956,0.9209760133578367
winogrande,grad_norm,ble,0.007868851767852902,0.9565413739095662
winogrande,fisher,ble,0.005311154527589679,0.7986242941018873
openbookqa,grasp,b1e,0.02050649281591177,0.06961791653180835
openbookqa,fisher,b1e,0.004637283738702536,0.7136667017905637
openbookqa,grad_norm,b1e,0.009973228443413973,0.930558846798204
openbookqa,snip,b1e,0.0026628944324329495,0.997320029236884
piqa,grasp,b1e,nan,nan
openbookqa,snip,ble,0.0038728276267647743,0.9971273900763764
piqa,nwot,b1e,0.010392415337264538,0.8036410161570402
winogrande,snip,b1e,0.0015038540586829185,0.9974134094718048
winogrande,nwot,b1e,0.015383615624159575,0.5932028707149671
