Model,Sparsity (%),n_heads,n_neurons,prompt_length,Generation Length (Tokens),Mode,Time (ms)
facebook/opt-1.3b,50,16,4096,128,128,dejavu,484
facebook/opt-1.3b,50,16,4096,128,128,shadowllm,426
facebook/opt-1.3b,50,16,4096,128,128,static,371
facebook/opt-6.7b,50,16,8192,128,128,dejavu,1226
facebook/opt-6.7b,50,16,8192,128,128,shadowllm,952
facebook/opt-6.7b,50,16,8192,128,128,static,766
facebook/opt-13b,50,20,10240,128,128,dejavu,1890
facebook/opt-13b,50,20,10240,128,128,shadowllm,1499
facebook/opt-13b,50,20,10240,128,128,static,1205
facebook/opt-30b,50,24,14336,128,128,dejavu,3193
facebook/opt-30b,50,24,14336,128,128,shadowllm,2607
facebook/opt-30b,50,24,14336,128,128,static,2077
facebook/opt-30b,0,48,28672,128,128,dejavu,4410
facebook/opt-30b,0,48,28672,128,128,shadowllm,3843
facebook/opt-30b,0,48,28672,128,128,static,2788
facebook/opt-30b,10,43,25804,128,128,dejavu,4143
facebook/opt-30b,10,43,25804,128,128,shadowllm,3560
facebook/opt-30b,10,43,25804,128,128,static,2634
facebook/opt-30b,20,38,22937,128,128,dejavu,3918
facebook/opt-30b,20,38,22937,128,128,shadowllm,3324
facebook/opt-30b,20,38,22937,128,128,static,2514
facebook/opt-30b,30,33,20070,128,128,dejavu,3668
facebook/opt-30b,30,33,20070,128,128,shadowllm,3093
facebook/opt-30b,30,33,20070,128,128,static,2379
facebook/opt-30b,40,28,17203,128,128,dejavu,3444
facebook/opt-30b,40,28,17203,128,128,shadowllm,2859
facebook/opt-30b,40,28,17203,128,128,static,2284
facebook/opt-30b,50,24,14336,128,128,dejavu,3191
facebook/opt-30b,50,24,14336,128,128,shadowllm,2629
facebook/opt-30b,50,24,14336,128,128,static,2078
facebook/opt-30b,60,19,11468,128,128,dejavu,2907
facebook/opt-30b,60,19,11468,128,128,shadowllm,2339
facebook/opt-30b,60,19,11468,128,128,static,1856
facebook/opt-30b,70,14,8601,128,128,dejavu,2664
facebook/opt-30b,70,14,8601,128,128,shadowllm,2092
facebook/opt-30b,70,14,8601,128,128,static,1655
facebook/opt-30b,80,9,5734,128,128,dejavu,2388
facebook/opt-30b,80,9,5734,128,128,shadowllm,1837
facebook/opt-30b,80,9,5734,128,128,static,1430
facebook/opt-30b,90,4,2867,128,128,dejavu,2167
facebook/opt-30b,90,4,2867,128,128,shadowllm,1593
facebook/opt-30b,90,4,2867,128,128,static,1229
facebook/opt-30b,50,24,14336,128,32,dejavu,844
facebook/opt-30b,50,24,14336,128,32,shadowllm,698
facebook/opt-30b,50,24,14336,128,32,static,569
facebook/opt-30b,50,24,14336,128,64,dejavu,1635
facebook/opt-30b,50,24,14336,128,64,shadowllm,1337
facebook/opt-30b,50,24,14336,128,64,static,1072
facebook/opt-30b,50,24,14336,128,128,dejavu,3198
facebook/opt-30b,50,24,14336,128,128,shadowllm,2628
facebook/opt-30b,50,24,14336,128,128,static,2077
facebook/opt-30b,50,24,14336,128,256,dejavu,6337
facebook/opt-30b,50,24,14336,128,256,shadowllm,5225
facebook/opt-30b,50,24,14336,128,256,static,4137
