Model,gpus,Sparsity (%),n_heads,n_neurons,prompt_length,Generation Length (Tokens),Mode,Time (ms)
facebook/opt-1.3b,1,50,16,4096,128,128,dejavu,654
facebook/opt-1.3b,1,50,16,4096,128,128,shadowllm,539
facebook/opt-1.3b,1,50,16,4096,128,128,static,438
facebook/opt-6.7b,2,50,16,8192,128,128,dejavu,1121
facebook/opt-6.7b,2,50,16,8192,128,128,shadowllm,978
facebook/opt-6.7b,2,50,16,8192,128,128,static,827
facebook/opt-13b,4,50,20,10240,128,128,dejavu,1315
facebook/opt-13b,4,50,20,10240,128,128,shadowllm,1154
facebook/opt-13b,4,50,20,10240,128,128,static,1017
facebook/opt-30b,4,50,24,14336,128,128,dejavu,2095
facebook/opt-30b,4,50,24,14336,128,128,shadowllm,1811
facebook/opt-30b,4,50,24,14336,128,128,static,1584
facebook/opt-66b,4,50,36,18432,128,128,dejavu,3565
facebook/opt-66b,4,50,36,18432,128,128,shadowllm,3085
facebook/opt-66b,4,50,36,18432,128,128,static,2658
facebook/opt-30b,4,0,48,28672,128,128,dejavu,2638
facebook/opt-30b,4,0,48,28672,128,128,shadowllm,2333
facebook/opt-30b,4,0,48,28672,128,128,static,1990
facebook/opt-30b,4,10,43,25804,128,128,dejavu,2514
facebook/opt-30b,4,10,43,25804,128,128,shadowllm,2233
facebook/opt-30b,4,10,43,25804,128,128,static,1903
facebook/opt-30b,4,20,38,22937,128,128,dejavu,2393
facebook/opt-30b,4,20,38,22937,128,128,shadowllm,2102
facebook/opt-30b,4,20,38,22937,128,128,static,1809
facebook/opt-30b,4,30,33,20070,128,128,dejavu,2293
facebook/opt-30b,4,30,33,20070,128,128,shadowllm,2004
facebook/opt-30b,4,30,33,20070,128,128,static,1722
facebook/opt-30b,4,40,28,17203,128,128,dejavu,2197
facebook/opt-30b,4,40,28,17203,128,128,shadowllm,1896
facebook/opt-30b,4,40,28,17203,128,128,static,1641
facebook/opt-30b,4,50,24,14336,128,128,dejavu,2099
facebook/opt-30b,4,50,24,14336,128,128,shadowllm,1803
facebook/opt-30b,4,50,24,14336,128,128,static,1566
facebook/opt-30b,4,60,19,11468,128,128,dejavu,1969
facebook/opt-30b,4,60,19,11468,128,128,shadowllm,1660
facebook/opt-30b,4,60,19,11468,128,128,static,1465
facebook/opt-30b,4,70,14,8601,128,128,dejavu,1901
facebook/opt-30b,4,70,14,8601,128,128,shadowllm,1619
facebook/opt-30b,4,70,14,8601,128,128,static,1414
facebook/opt-30b,4,80,9,5734,128,128,dejavu,1762
facebook/opt-30b,4,80,9,5734,128,128,shadowllm,1475
facebook/opt-30b,4,80,9,5734,128,128,static,1308
facebook/opt-30b,4,90,4,2867,128,128,dejavu,1661
facebook/opt-30b,4,90,4,2867,128,128,shadowllm,1342
facebook/opt-30b,4,90,4,2867,128,128,static,1168
facebook/opt-30b,4,50,24,14336,128,32,dejavu,564
facebook/opt-30b,4,50,24,14336,128,32,shadowllm,487
facebook/opt-30b,4,50,24,14336,128,32,static,430
facebook/opt-30b,4,50,24,14336,128,64,dejavu,1075
facebook/opt-30b,4,50,24,14336,128,64,shadowllm,915
facebook/opt-30b,4,50,24,14336,128,64,static,807
facebook/opt-30b,4,50,24,14336,128,128,dejavu,2102
facebook/opt-30b,4,50,24,14336,128,128,shadowllm,1811
facebook/opt-30b,4,50,24,14336,128,128,static,1582
facebook/opt-30b,4,50,24,14336,128,256,dejavu,4197
facebook/opt-30b,4,50,24,14336,128,256,shadowllm,3625
facebook/opt-30b,4,50,24,14336,128,256,static,3155
