Model,Sparsity (%),n_heads,n_neurons,prompt_length,Generation Length (Tokens),Mode,Time (sec)
facebook/opt-1.3b,50,16,1024,128,128,dejavu,720
facebook/opt-1.3b,50,16,1024,128,128,shadowllm,585
facebook/opt-1.3b,50,16,1024,128,128,static,397
facebook/opt-6.7b,50,16,2048,128,128,dejavu,1992
facebook/opt-6.7b,50,16,2048,128,128,shadowllm,1647
facebook/opt-6.7b,50,16,2048,128,128,static,1026
facebook/opt-13b,50,20,2560,128,128,dejavu,2962
facebook/opt-13b,50,20,2560,128,128,shadowllm,2522
facebook/opt-13b,50,20,2560,128,128,static,1703
facebook/opt-13b,0,40,5120,128,128,dejavu,4081
facebook/opt-13b,0,40,5120,128,128,shadowllm,3640
facebook/opt-13b,0,40,5120,128,128,static,2494
facebook/opt-13b,10,36,4608,128,128,dejavu,3877
facebook/opt-13b,10,36,4608,128,128,shadowllm,3429
facebook/opt-13b,10,36,4608,128,128,static,2358
facebook/opt-13b,20,32,4096,128,128,dejavu,3649
facebook/opt-13b,20,32,4096,128,128,shadowllm,3210
facebook/opt-13b,20,32,4096,128,128,static,2187
facebook/opt-13b,30,28,3584,128,128,dejavu,3427
facebook/opt-13b,30,28,3584,128,128,shadowllm,2981
facebook/opt-13b,30,28,3584,128,128,static,2039
facebook/opt-13b,40,24,3072,128,128,dejavu,3195
facebook/opt-13b,40,24,3072,128,128,shadowllm,2754
facebook/opt-13b,40,24,3072,128,128,static,1868
facebook/opt-13b,50,20,2560,128,128,dejavu,2957
facebook/opt-13b,50,20,2560,128,128,shadowllm,2527
facebook/opt-13b,50,20,2560,128,128,static,1700
facebook/opt-13b,60,16,2048,128,128,dejavu,2721
facebook/opt-13b,60,16,2048,128,128,shadowllm,2280
facebook/opt-13b,60,16,2048,128,128,static,1510
facebook/opt-13b,70,12,1536,128,128,dejavu,2491
facebook/opt-13b,70,12,1536,128,128,shadowllm,2045
facebook/opt-13b,70,12,1536,128,128,static,1327
facebook/opt-13b,80,8,1024,128,128,dejavu,2271
facebook/opt-13b,80,8,1024,128,128,shadowllm,1815
facebook/opt-13b,80,8,1024,128,128,static,1128
facebook/opt-13b,90,4,512,128,128,dejavu,2040
facebook/opt-13b,90,4,512,128,128,shadowllm,1590
facebook/opt-13b,90,4,512,128,128,static,936
facebook/opt-13b,95,2,256,128,128,dejavu,1933
facebook/opt-13b,95,2,256,128,128,shadowllm,1470
facebook/opt-13b,95,2,256,128,128,static,820
facebook/opt-13b,50,20,2560,128,32,dejavu,780
facebook/opt-13b,50,20,2560,128,32,shadowllm,671
facebook/opt-13b,50,20,2560,128,32,static,470
facebook/opt-13b,50,20,2560,128,64,dejavu,1505
facebook/opt-13b,50,20,2560,128,64,shadowllm,1286
facebook/opt-13b,50,20,2560,128,64,static,877
facebook/opt-13b,50,20,2560,128,128,dejavu,2963
facebook/opt-13b,50,20,2560,128,128,shadowllm,2525
facebook/opt-13b,50,20,2560,128,128,static,1707
facebook/opt-13b,50,20,2560,128,256,dejavu,5919
facebook/opt-13b,50,20,2560,128,256,shadowllm,5044
facebook/opt-13b,50,20,2560,128,256,static,3395
