zcp_metric,data_type,mean,std_dev,min,max,25th_percentile,50th_percentile,75th_percentile,num_outliers
fisher,FFN Activation,6.0587566e-09,4.3605647e-07,0.0,0.0005836487,0.0,0.0,0.0,178899
fisher,Heads Activation,3.8635568e-07,2.0815103e-06,0.0,0.00037169456,0.0,0.0,1.7881393432617188e-07,44416
grasp,FFN Activation,6.823878e-10,1.3492994e-06,-0.00038409233,0.00020813942,0.0,0.0,0.0,3457749
grasp,Heads Activation,5.463759e-10,3.1728604e-07,-1.4066696e-05,9.953976e-06,-5.960464477539063e-08,0.0,5.960464477539063e-08,42600
grad_norm,FFN Activation,0.02884667,0.09298487,0.0,9.953125,0.0,0.0006117820739746094,0.01800537109375,1493466
grad_norm,Heads Activation,0.051996224,0.04625158,0.0018386841,0.84472656,0.0242919921875,0.0379638671875,0.061279296875,24329
plainact,FFN Activation,0.008820728,0.026963647,0.0,7.1367188,0.0,0.0002884864807128906,0.006031036376953125,1488463
plainact,Heads Activation,0.03261438,0.03413354,0.00024938583,1.0605469,0.0129852294921875,0.02392578125,0.04046630859375,19543
snip,FFN Activation,0.001264221,0.0063593313,0.0,2.8671875,0.0,1.627206802368164e-05,0.000591278076171875,1593237
snip,Heads Activation,4.38918,4.884229,0.14135742,99.25,1.0478515625,3.03515625,5.89453125,16223
nwot,FFN Activation,-0.050594047,0.15979435,-4.7004805,0.0,-0.03390151634812355,-5.960465188081798e-08,0.0,1387461
nwot,Heads Activation,8.007349,0.10387727,7.3981743,8.481152,7.941651344299316,8.01102352142334,8.077136993408203,3742
l2_norm,FFN Activation,25.791695,11.649498,0.67285156,212.25,17.625,24.375,32.15625,218165
l2_norm,Heads Activation,17.831146,14.948599,1.1152344,147.5,6.046875,13.421875,25.75,7816
